归属省份,中文名,adcode
北京市,东城区,110101
北京市,西城区,110102
北京市,朝阳区,110105
北京市,丰台区,110106
北京市,石景山区,110107
北京市,海淀区,110108
北京市,门头沟区,110109
北京市,房山区,110111
北京市,通州区,110112
北京市,顺义区,110113
北京市,昌平区,110114
北京市,大兴区,110115
北京市,怀柔区,110116
北京市,平谷区,110117
北京市,密云区,110118
北京市,延庆区,110119
天津市,和平区,120101
天津市,河东区,120102
天津市,河西区,120103
天津市,南开区,120104
天津市,河北区,120105
天津市,红桥区,120106
天津市,东丽区,120110
天津市,西青区,120111
天津市,津南区,120112
天津市,北辰区,120113
天津市,武清区,120114
天津市,宝坻区,120115
天津市,滨海新区,120116
天津市,宁河区,120117
天津市,静海区,120118
天津市,蓟州区,120119
河北省,长安区,130102
河北省,桥西区,130104
河北省,新华区,130105
河北省,井陉矿区,130107
河北省,裕华区,130108
河北省,藁城区,130109
河北省,鹿泉区,130110
河北省,栾城区,130111
河北省,井陉县,130121
河北省,正定县,130123
河北省,行唐县,130125
河北省,灵寿县,130126
河北省,高邑县,130127
河北省,深泽县,130128
河北省,赞皇县,130129
河北省,无极县,130130
河北省,平山县,130131
河北省,元氏县,130132
河北省,赵县,130133
河北省,辛集市,130181
河北省,晋州市,130183
河北省,新乐市,130184
河北省,路南区,130202
河北省,路北区,130203
河北省,古冶区,130204
河北省,开平区,130205
河北省,丰南区,130207
河北省,丰润区,130208
河北省,曹妃甸区,130209
河北省,滦县,130223
河北省,滦南县,130224
河北省,乐亭县,130225
河北省,迁西县,130227
河北省,玉田县,130229
河北省,遵化市,130281
河北省,迁安市,130283
河北省,海港区,130302
河北省,山海关区,130303
河北省,北戴河区,130304
河北省,抚宁区,130306
河北省,青龙满族自治县,130321
河北省,昌黎县,130322
河北省,卢龙县,130324
河北省,邯山区,130402
河北省,丛台区,130403
河北省,复兴区,130404
河北省,峰峰矿区,130406
河北省,肥乡区,130407
河北省,永年区,130408
河北省,临漳县,130423
河北省,成安县,130424
河北省,大名县,130425
河北省,涉县,130426
河北省,磁县,130427
河北省,邱县,130430
河北省,鸡泽县,130431
河北省,广平县,130432
河北省,馆陶县,130433
河北省,魏县,130434
河北省,曲周县,130435
河北省,武安市,130481
河北省,桥东区,130502
河北省,桥西区,130503
河北省,邢台县,130521
河北省,临城县,130522
河北省,内丘县,130523
河北省,柏乡县,130524
河北省,隆尧县,130525
河北省,任县,130526
河北省,南和县,130527
河北省,宁晋县,130528
河北省,巨鹿县,130529
河北省,新河县,130530
河北省,广宗县,130531
河北省,平乡县,130532
河北省,威县,130533
河北省,清河县,130534
河北省,临西县,130535
河北省,南宫市,130581
河北省,沙河市,130582
河北省,竞秀区,130602
河北省,莲池区,130606
河北省,满城区,130607
河北省,清苑区,130608
河北省,徐水区,130609
河北省,涞水县,130623
河北省,阜平县,130624
河北省,定兴县,130626
河北省,唐县,130627
河北省,高阳县,130628
河北省,容城县,130629
河北省,涞源县,130630
河北省,望都县,130631
河北省,安新县,130632
河北省,易县,130633
河北省,曲阳县,130634
河北省,蠡县,130635
河北省,顺平县,130636
河北省,博野县,130637
河北省,雄县,130638
河北省,涿州市,130681
河北省,定州市,130682
河北省,安国市,130683
河北省,高碑店市,130684
河北省,桥东区,130702
河北省,桥西区,130703
河北省,宣化区,130705
河北省,下花园区,130706
河北省,万全区,130708
河北省,崇礼区,130709
河北省,张北县,130722
河北省,康保县,130723
河北省,沽源县,130724
河北省,尚义县,130725
河北省,蔚县,130726
河北省,阳原县,130727
河北省,怀安县,130728
河北省,怀来县,130730
河北省,涿鹿县,130731
河北省,赤城县,130732
河北省,双桥区,130802
河北省,双滦区,130803
河北省,鹰手营子矿区,130804
河北省,承德县,130821
河北省,兴隆县,130822
河北省,滦平县,130824
河北省,隆化县,130825
河北省,丰宁满族自治县,130826
河北省,宽城满族自治县,130827
河北省,围场满族蒙古族自治县,130828
河北省,平泉市,130881
河北省,新华区,130902
河北省,运河区,130903
河北省,沧县,130921
河北省,青县,130922
河北省,东光县,130923
河北省,海兴县,130924
河北省,盐山县,130925
河北省,肃宁县,130926
河北省,南皮县,130927
河北省,吴桥县,130928
河北省,献县,130929
河北省,孟村回族自治县,130930
河北省,泊头市,130981
河北省,任丘市,130982
河北省,黄骅市,130983
河北省,河间市,130984
河北省,安次区,131002
河北省,广阳区,131003
河北省,固安县,131022
河北省,永清县,131023
河北省,香河县,131024
河北省,大城县,131025
河北省,文安县,131026
河北省,大厂回族自治县,131028
河北省,霸州市,131081
河北省,三河市,131082
河北省,桃城区,131102
河北省,冀州区,131103
河北省,枣强县,131121
河北省,武邑县,131122
河北省,武强县,131123
河北省,饶阳县,131124
河北省,安平县,131125
河北省,故城县,131126
河北省,景县,131127
河北省,阜城县,131128
河北省,深州市,131182
山西省,小店区,140105
山西省,迎泽区,140106
山西省,杏花岭区,140107
山西省,尖草坪区,140108
山西省,万柏林区,140109
山西省,晋源区,140110
山西省,清徐县,140121
山西省,阳曲县,140122
山西省,娄烦县,140123
山西省,古交市,140181
山西省,城区,140202
山西省,矿区,140203
山西省,南郊区,140211
山西省,新荣区,140212
山西省,阳高县,140221
山西省,天镇县,140222
山西省,广灵县,140223
山西省,灵丘县,140224
山西省,浑源县,140225
山西省,左云县,140226
山西省,大同县,140227
山西省,城区,140302
山西省,矿区,140303
山西省,郊区,140311
山西省,平定县,140321
山西省,盂县,140322
山西省,城区,140402
山西省,郊区,140411
山西省,长治县,140421
山西省,襄垣县,140423
山西省,屯留县,140424
山西省,平顺县,140425
山西省,黎城县,140426
山西省,壶关县,140427
山西省,长子县,140428
山西省,武乡县,140429
山西省,沁县,140430
山西省,沁源县,140431
山西省,潞城市,140481
山西省,城区,140502
山西省,沁水县,140521
山西省,阳城县,140522
山西省,陵川县,140524
山西省,泽州县,140525
山西省,高平市,140581
山西省,朔城区,140602
山西省,平鲁区,140603
山西省,山阴县,140621
山西省,应县,140622
山西省,右玉县,140623
山西省,怀仁县,140624
山西省,榆次区,140702
山西省,榆社县,140721
山西省,左权县,140722
山西省,和顺县,140723
山西省,昔阳县,140724
山西省,寿阳县,140725
山西省,太谷县,140726
山西省,祁县,140727
山西省,平遥县,140728
山西省,灵石县,140729
山西省,介休市,140781
山西省,盐湖区,140802
山西省,临猗县,140821
山西省,万荣县,140822
山西省,闻喜县,140823
山西省,稷山县,140824
山西省,新绛县,140825
山西省,绛县,140826
山西省,垣曲县,140827
山西省,夏县,140828
山西省,平陆县,140829
山西省,芮城县,140830
山西省,永济市,140881
山西省,河津市,140882
山西省,忻府区,140902
山西省,定襄县,140921
山西省,五台县,140922
山西省,代县,140923
山西省,繁峙县,140924
山西省,宁武县,140925
山西省,静乐县,140926
山西省,神池县,140927
山西省,五寨县,140928
山西省,岢岚县,140929
山西省,河曲县,140930
山西省,保德县,140931
山西省,偏关县,140932
山西省,原平市,140981
山西省,尧都区,141002
山西省,曲沃县,141021
山西省,翼城县,141022
山西省,襄汾县,141023
山西省,洪洞县,141024
山西省,古县,141025
山西省,安泽县,141026
山西省,浮山县,141027
山西省,吉县,141028
山西省,乡宁县,141029
山西省,大宁县,141030
山西省,隰县,141031
山西省,永和县,141032
山西省,蒲县,141033
山西省,汾西县,141034
山西省,侯马市,141081
山西省,霍州市,141082
山西省,离石区,141102
山西省,文水县,141121
山西省,交城县,141122
山西省,兴县,141123
山西省,临县,141124
山西省,柳林县,141125
山西省,石楼县,141126
山西省,岚县,141127
山西省,方山县,141128
山西省,中阳县,141129
山西省,交口县,141130
山西省,孝义市,141181
山西省,汾阳市,141182
内蒙古自治区,新城区,150102
内蒙古自治区,回民区,150103
内蒙古自治区,玉泉区,150104
内蒙古自治区,赛罕区,150105
内蒙古自治区,土默特左旗,150121
内蒙古自治区,托克托县,150122
内蒙古自治区,和林格尔县,150123
内蒙古自治区,清水河县,150124
内蒙古自治区,武川县,150125
内蒙古自治区,东河区,150202
内蒙古自治区,昆都仑区,150203
内蒙古自治区,青山区,150204
内蒙古自治区,石拐区,150205
内蒙古自治区,白云鄂博矿区,150206
内蒙古自治区,九原区,150207
内蒙古自治区,土默特右旗,150221
内蒙古自治区,固阳县,150222
内蒙古自治区,达尔罕茂明安联合旗,150223
内蒙古自治区,海勃湾区,150302
内蒙古自治区,海南区,150303
内蒙古自治区,乌达区,150304
内蒙古自治区,红山区,150402
内蒙古自治区,元宝山区,150403
内蒙古自治区,松山区,150404
内蒙古自治区,阿鲁科尔沁旗,150421
内蒙古自治区,巴林左旗,150422
内蒙古自治区,巴林右旗,150423
内蒙古自治区,林西县,150424
内蒙古自治区,克什克腾旗,150425
内蒙古自治区,翁牛特旗,150426
内蒙古自治区,喀喇沁旗,150428
内蒙古自治区,宁城县,150429
内蒙古自治区,敖汉旗,150430
内蒙古自治区,科尔沁区,150502
内蒙古自治区,科尔沁左翼中旗,150521
内蒙古自治区,科尔沁左翼后旗,150522
内蒙古自治区,开鲁县,150523
内蒙古自治区,库伦旗,150524
内蒙古自治区,奈曼旗,150525
内蒙古自治区,扎鲁特旗,150526
内蒙古自治区,霍林郭勒市,150581
内蒙古自治区,东胜区,150602
内蒙古自治区,康巴什区,150603
内蒙古自治区,达拉特旗,150621
内蒙古自治区,准格尔旗,150622
内蒙古自治区,鄂托克前旗,150623
内蒙古自治区,鄂托克旗,150624
内蒙古自治区,杭锦旗,150625
内蒙古自治区,乌审旗,150626
内蒙古自治区,伊金霍洛旗,150627
内蒙古自治区,海拉尔区,150702
内蒙古自治区,扎赉诺尔区,150703
内蒙古自治区,阿荣旗,150721
内蒙古自治区,莫力达瓦达斡尔族自治旗,150722
内蒙古自治区,鄂伦春自治旗,150723
内蒙古自治区,鄂温克族自治旗,150724
内蒙古自治区,陈巴尔虎旗,150725
内蒙古自治区,新巴尔虎左旗,150726
内蒙古自治区,新巴尔虎右旗,150727
内蒙古自治区,满洲里市,150781
内蒙古自治区,牙克石市,150782
内蒙古自治区,扎兰屯市,150783
内蒙古自治区,额尔古纳市,150784
内蒙古自治区,根河市,150785
内蒙古自治区,临河区,150802
内蒙古自治区,五原县,150821
内蒙古自治区,磴口县,150822
内蒙古自治区,乌拉特前旗,150823
内蒙古自治区,乌拉特中旗,150824
内蒙古自治区,乌拉特后旗,150825
内蒙古自治区,杭锦后旗,150826
内蒙古自治区,集宁区,150902
内蒙古自治区,卓资县,150921
内蒙古自治区,化德县,150922
内蒙古自治区,商都县,150923
内蒙古自治区,兴和县,150924
内蒙古自治区,凉城县,150925
内蒙古自治区,察哈尔右翼前旗,150926
内蒙古自治区,察哈尔右翼中旗,150927
内蒙古自治区,察哈尔右翼后旗,150928
内蒙古自治区,四子王旗,150929
内蒙古自治区,丰镇市,150981
内蒙古自治区,乌兰浩特市,152201
内蒙古自治区,阿尔山市,152202
内蒙古自治区,科尔沁右翼前旗,152221
内蒙古自治区,科尔沁右翼中旗,152222
内蒙古自治区,扎赉特旗,152223
内蒙古自治区,突泉县,152224
内蒙古自治区,二连浩特市,152501
内蒙古自治区,锡林浩特市,152502
内蒙古自治区,阿巴嘎旗,152522
内蒙古自治区,苏尼特左旗,152523
内蒙古自治区,苏尼特右旗,152524
内蒙古自治区,东乌珠穆沁旗,152525
内蒙古自治区,西乌珠穆沁旗,152526
内蒙古自治区,太仆寺旗,152527
内蒙古自治区,镶黄旗,152528
内蒙古自治区,正镶白旗,152529
内蒙古自治区,正蓝旗,152530
内蒙古自治区,多伦县,152531
内蒙古自治区,阿拉善左旗,152921
内蒙古自治区,阿拉善右旗,152922
内蒙古自治区,额济纳旗,152923
辽宁省,和平区,210102
辽宁省,沈河区,210103
辽宁省,大东区,210104
辽宁省,皇姑区,210105
辽宁省,铁西区,210106
辽宁省,苏家屯区,210111
辽宁省,浑南区,210112
辽宁省,沈北新区,210113
辽宁省,于洪区,210114
辽宁省,辽中区,210115
辽宁省,康平县,210123
辽宁省,法库县,210124
辽宁省,新民市,210181
辽宁省,中山区,210202
辽宁省,西岗区,210203
辽宁省,沙河口区,210204
辽宁省,甘井子区,210211
辽宁省,旅顺口区,210212
辽宁省,金州区,210213
辽宁省,普兰店区,210214
辽宁省,长海县,210224
辽宁省,瓦房店市,210281
辽宁省,庄河市,210283
辽宁省,铁东区,210302
辽宁省,铁西区,210303
辽宁省,立山区,210304
辽宁省,千山区,210311
辽宁省,台安县,210321
辽宁省,岫岩满族自治县,210323
辽宁省,海城市,210381
辽宁省,新抚区,210402
辽宁省,东洲区,210403
辽宁省,望花区,210404
辽宁省,顺城区,210411
辽宁省,抚顺县,210421
辽宁省,新宾满族自治县,210422
辽宁省,清原满族自治县,210423
辽宁省,平山区,210502
辽宁省,溪湖区,210503
辽宁省,明山区,210504
辽宁省,南芬区,210505
辽宁省,本溪满族自治县,210521
辽宁省,桓仁满族自治县,210522
辽宁省,元宝区,210602
辽宁省,振兴区,210603
辽宁省,振安区,210604
辽宁省,宽甸满族自治县,210624
辽宁省,东港市,210681
辽宁省,凤城市,210682
辽宁省,古塔区,210702
辽宁省,凌河区,210703
辽宁省,太和区,210711
辽宁省,黑山县,210726
辽宁省,义县,210727
辽宁省,凌海市,210781
辽宁省,北镇市,210782
辽宁省,站前区,210802
辽宁省,西市区,210803
辽宁省,鲅鱼圈区,210804
辽宁省,老边区,210811
辽宁省,盖州市,210881
辽宁省,大石桥市,210882
辽宁省,海州区,210902
辽宁省,新邱区,210903
辽宁省,太平区,210904
辽宁省,清河门区,210905
辽宁省,细河区,210911
辽宁省,阜新蒙古族自治县,210921
辽宁省,彰武县,210922
辽宁省,白塔区,211002
辽宁省,文圣区,211003
辽宁省,宏伟区,211004
辽宁省,弓长岭区,211005
辽宁省,太子河区,211011
辽宁省,辽阳县,211021
辽宁省,灯塔市,211081
辽宁省,双台子区,211102
辽宁省,兴隆台区,211103
辽宁省,大洼区,211104
辽宁省,盘山县,211122
辽宁省,银州区,211202
辽宁省,清河区,211204
辽宁省,铁岭县,211221
辽宁省,西丰县,211223
辽宁省,昌图县,211224
辽宁省,调兵山市,211281
辽宁省,开原市,211282
辽宁省,双塔区,211302
辽宁省,龙城区,211303
辽宁省,朝阳县,211321
辽宁省,建平县,211322
辽宁省,喀喇沁左翼蒙古族自治县,211324
辽宁省,北票市,211381
辽宁省,凌源市,211382
辽宁省,连山区,211402
辽宁省,龙港区,211403
辽宁省,南票区,211404
辽宁省,绥中县,211421
辽宁省,建昌县,211422
辽宁省,兴城市,211481
吉林省,南关区,220102
吉林省,宽城区,220103
吉林省,朝阳区,220104
吉林省,二道区,220105
吉林省,绿园区,220106
吉林省,双阳区,220112
吉林省,九台区,220113
吉林省,农安县,220122
吉林省,榆树市,220182
吉林省,德惠市,220183
吉林省,昌邑区,220202
吉林省,龙潭区,220203
吉林省,船营区,220204
吉林省,丰满区,220211
吉林省,永吉县,220221
吉林省,蛟河市,220281
吉林省,桦甸市,220282
吉林省,舒兰市,220283
吉林省,磐石市,220284
吉林省,铁西区,220302
吉林省,铁东区,220303
吉林省,梨树县,220322
吉林省,伊通满族自治县,220323
吉林省,公主岭市,220381
吉林省,双辽市,220382
吉林省,龙山区,220402
吉林省,西安区,220403
吉林省,东丰县,220421
吉林省,东辽县,220422
吉林省,东昌区,220502
吉林省,二道江区,220503
吉林省,通化县,220521
吉林省,辉南县,220523
吉林省,柳河县,220524
吉林省,梅河口市,220581
吉林省,集安市,220582
吉林省,浑江区,220602
吉林省,江源区,220605
吉林省,抚松县,220621
吉林省,靖宇县,220622
吉林省,长白朝鲜族自治县,220623
吉林省,临江市,220681
吉林省,宁江区,220702
吉林省,前郭尔罗斯蒙古族自治县,220721
吉林省,长岭县,220722
吉林省,乾安县,220723
吉林省,扶余市,220781
吉林省,洮北区,220802
吉林省,镇赉县,220821
吉林省,通榆县,220822
吉林省,洮南市,220881
吉林省,大安市,220882
吉林省,延吉市,222401
吉林省,图们市,222402
吉林省,敦化市,222403
吉林省,珲春市,222404
吉林省,龙井市,222405
吉林省,和龙市,222406
吉林省,汪清县,222424
吉林省,安图县,222426
黑龙江省,道里区,230102
黑龙江省,南岗区,230103
黑龙江省,道外区,230104
黑龙江省,平房区,230108
黑龙江省,松北区,230109
黑龙江省,香坊区,230110
黑龙江省,呼兰区,230111
黑龙江省,阿城区,230112
黑龙江省,双城区,230113
黑龙江省,依兰县,230123
黑龙江省,方正县,230124
黑龙江省,宾县,230125
黑龙江省,巴彦县,230126
黑龙江省,木兰县,230127
黑龙江省,通河县,230128
黑龙江省,延寿县,230129
黑龙江省,尚志市,230183
黑龙江省,五常市,230184
黑龙江省,龙沙区,230202
黑龙江省,建华区,230203
黑龙江省,铁锋区,230204
黑龙江省,昂昂溪区,230205
黑龙江省,富拉尔基区,230206
黑龙江省,碾子山区,230207
黑龙江省,梅里斯达斡尔族区,230208
黑龙江省,龙江县,230221
黑龙江省,依安县,230223
黑龙江省,泰来县,230224
黑龙江省,甘南县,230225
黑龙江省,富裕县,230227
黑龙江省,克山县,230229
黑龙江省,克东县,230230
黑龙江省,拜泉县,230231
黑龙江省,讷河市,230281
黑龙江省,鸡冠区,230302
黑龙江省,恒山区,230303
黑龙江省,滴道区,230304
黑龙江省,梨树区,230305
黑龙江省,城子河区,230306
黑龙江省,麻山区,230307
黑龙江省,鸡东县,230321
黑龙江省,虎林市,230381
黑龙江省,密山市,230382
黑龙江省,向阳区,230402
黑龙江省,工农区,230403
黑龙江省,南山区,230404
黑龙江省,兴安区,230405
黑龙江省,东山区,230406
黑龙江省,兴山区,230407
黑龙江省,萝北县,230421
黑龙江省,绥滨县,230422
黑龙江省,尖山区,230502
黑龙江省,岭东区,230503
黑龙江省,四方台区,230505
黑龙江省,宝山区,230506
黑龙江省,集贤县,230521
黑龙江省,友谊县,230522
黑龙江省,宝清县,230523
黑龙江省,饶河县,230524
黑龙江省,萨尔图区,230602
黑龙江省,龙凤区,230603
黑龙江省,让胡路区,230604
黑龙江省,红岗区,230605
黑龙江省,大同区,230606
黑龙江省,肇州县,230621
黑龙江省,肇源县,230622
黑龙江省,林甸县,230623
黑龙江省,杜尔伯特蒙古族自治县,230624
黑龙江省,伊春区,230702
黑龙江省,南岔区,230703
黑龙江省,友好区,230704
黑龙江省,西林区,230705
黑龙江省,翠峦区,230706
黑龙江省,新青区,230707
黑龙江省,美溪区,230708
黑龙江省,金山屯区,230709
黑龙江省,五营区,230710
黑龙江省,乌马河区,230711
黑龙江省,汤旺河区,230712
黑龙江省,带岭区,230713
黑龙江省,乌伊岭区,230714
黑龙江省,红星区,230715
黑龙江省,上甘岭区,230716
黑龙江省,嘉荫县,230722
黑龙江省,铁力市,230781
黑龙江省,向阳区,230803
黑龙江省,前进区,230804
黑龙江省,东风区,230805
黑龙江省,郊区,230811
黑龙江省,桦南县,230822
黑龙江省,桦川县,230826
黑龙江省,汤原县,230828
黑龙江省,同江市,230881
黑龙江省,富锦市,230882
黑龙江省,抚远市,230883
黑龙江省,新兴区,230902
黑龙江省,桃山区,230903
黑龙江省,茄子河区,230904
黑龙江省,勃利县,230921
黑龙江省,东安区,231002
黑龙江省,阳明区,231003
黑龙江省,爱民区,231004
黑龙江省,西安区,231005
黑龙江省,林口县,231025
黑龙江省,绥芬河市,231081
黑龙江省,海林市,231083
黑龙江省,宁安市,231084
黑龙江省,穆棱市,231085
黑龙江省,东宁市,231086
黑龙江省,爱辉区,231102
黑龙江省,嫩江县,231121
黑龙江省,逊克县,231123
黑龙江省,孙吴县,231124
黑龙江省,北安市,231181
黑龙江省,五大连池市,231182
黑龙江省,北林区,231202
黑龙江省,望奎县,231221
黑龙江省,兰西县,231222
黑龙江省,青冈县,231223
黑龙江省,庆安县,231224
黑龙江省,明水县,231225
黑龙江省,绥棱县,231226
黑龙江省,安达市,231281
黑龙江省,肇东市,231282
黑龙江省,海伦市,231283
黑龙江省,加格达奇区,232701
黑龙江省,呼玛县,232721
黑龙江省,塔河县,232722
黑龙江省,漠河县,232723
上海市,黄浦区,310101
上海市,徐汇区,310104
上海市,长宁区,310105
上海市,静安区,310106
上海市,普陀区,310107
上海市,虹口区,310109
上海市,杨浦区,310110
上海市,闵行区,310112
上海市,宝山区,310113
上海市,嘉定区,310114
上海市,浦东新区,310115
上海市,金山区,310116
上海市,松江区,310117
上海市,青浦区,310118
上海市,奉贤区,310120
上海市,崇明区,310151
江苏省,玄武区,320102
江苏省,秦淮区,320104
江苏省,建邺区,320105
江苏省,鼓楼区,320106
江苏省,浦口区,320111
江苏省,栖霞区,320113
江苏省,雨花台区,320114
江苏省,江宁区,320115
江苏省,六合区,320116
江苏省,溧水区,320117
江苏省,高淳区,320118
江苏省,锡山区,320205
江苏省,惠山区,320206
江苏省,滨湖区,320211
江苏省,梁溪区,320213
江苏省,新吴区,320214
江苏省,江阴市,320281
江苏省,宜兴市,320282
江苏省,鼓楼区,320302
江苏省,云龙区,320303
江苏省,贾汪区,320305
江苏省,泉山区,320311
江苏省,铜山区,320312
江苏省,丰县,320321
江苏省,沛县,320322
江苏省,睢宁县,320324
江苏省,新沂市,320381
江苏省,邳州市,320382
江苏省,天宁区,320402
江苏省,钟楼区,320404
江苏省,新北区,320411
江苏省,武进区,320412
江苏省,金坛区,320413
江苏省,溧阳市,320481
江苏省,虎丘区,320505
江苏省,吴中区,320506
江苏省,相城区,320507
江苏省,姑苏区,320508
江苏省,吴江区,320509
江苏省,常熟市,320581
江苏省,张家港市,320582
江苏省,昆山市,320583
江苏省,太仓市,320585
江苏省,崇川区,320602
江苏省,港闸区,320611
江苏省,通州区,320612
江苏省,海安县,320621
江苏省,如东县,320623
江苏省,启东市,320681
江苏省,如皋市,320682
江苏省,海门市,320684
江苏省,连云区,320703
江苏省,海州区,320706
江苏省,赣榆区,320707
江苏省,东海县,320722
江苏省,灌云县,320723
江苏省,灌南县,320724
江苏省,淮安区,320803
江苏省,淮阴区,320804
江苏省,清江浦区,320812
江苏省,洪泽区,320813
江苏省,涟水县,320826
江苏省,盱眙县,320830
江苏省,金湖县,320831
江苏省,亭湖区,320902
江苏省,盐都区,320903
江苏省,大丰区,320904
江苏省,响水县,320921
江苏省,滨海县,320922
江苏省,阜宁县,320923
江苏省,射阳县,320924
江苏省,建湖县,320925
江苏省,东台市,320981
江苏省,广陵区,321002
江苏省,邗江区,321003
江苏省,江都区,321012
江苏省,宝应县,321023
江苏省,仪征市,321081
江苏省,高邮市,321084
江苏省,京口区,321102
江苏省,润州区,321111
江苏省,丹徒区,321112
江苏省,丹阳市,321181
江苏省,扬中市,321182
江苏省,句容市,321183
江苏省,海陵区,321202
江苏省,高港区,321203
江苏省,姜堰区,321204
江苏省,兴化市,321281
江苏省,靖江市,321282
江苏省,泰兴市,321283
江苏省,宿城区,321302
江苏省,宿豫区,321311
江苏省,沭阳县,321322
江苏省,泗阳县,321323
江苏省,泗洪县,321324
浙江省,上城区,330102
浙江省,下城区,330103
浙江省,江干区,330104
浙江省,拱墅区,330105
浙江省,西湖区,330106
浙江省,滨江区,330108
浙江省,萧山区,330109
浙江省,余杭区,330110
浙江省,富阳区,330111
浙江省,临安区,330112
浙江省,桐庐县,330122
浙江省,淳安县,330127
浙江省,建德市,330182
浙江省,海曙区,330203
浙江省,江北区,330205
浙江省,北仑区,330206
浙江省,镇海区,330211
浙江省,鄞州区,330212
浙江省,奉化区,330213
浙江省,象山县,330225
浙江省,宁海县,330226
浙江省,余姚市,330281
浙江省,慈溪市,330282
浙江省,鹿城区,330302
浙江省,龙湾区,330303
浙江省,瓯海区,330304
浙江省,洞头区,330305
浙江省,永嘉县,330324
浙江省,平阳县,330326
浙江省,苍南县,330327
浙江省,文成县,330328
浙江省,泰顺县,330329
浙江省,瑞安市,330381
浙江省,乐清市,330382
浙江省,南湖区,330402
浙江省,秀洲区,330411
浙江省,嘉善县,330421
浙江省,海盐县,330424
浙江省,海宁市,330481
浙江省,平湖市,330482
浙江省,桐乡市,330483
浙江省,吴兴区,330502
浙江省,南浔区,330503
浙江省,德清县,330521
浙江省,长兴县,330522
浙江省,安吉县,330523
浙江省,越城区,330602
浙江省,柯桥区,330603
浙江省,上虞区,330604
浙江省,新昌县,330624
浙江省,诸暨市,330681
浙江省,嵊州市,330683
浙江省,婺城区,330702
浙江省,金东区,330703
浙江省,武义县,330723
浙江省,浦江县,330726
浙江省,磐安县,330727
浙江省,兰溪市,330781
浙江省,义乌市,330782
浙江省,东阳市,330783
浙江省,永康市,330784
浙江省,柯城区,330802
浙江省,衢江区,330803
浙江省,常山县,330822
浙江省,开化县,330824
浙江省,龙游县,330825
浙江省,江山市,330881
浙江省,定海区,330902
浙江省,普陀区,330903
浙江省,岱山县,330921
浙江省,嵊泗县,330922
浙江省,椒江区,331002
浙江省,黄岩区,331003
浙江省,路桥区,331004
浙江省,三门县,331022
浙江省,天台县,331023
浙江省,仙居县,331024
浙江省,温岭市,331081
浙江省,临海市,331082
浙江省,玉环市,331083
浙江省,莲都区,331102
浙江省,青田县,331121
浙江省,缙云县,331122
浙江省,遂昌县,331123
浙江省,松阳县,331124
浙江省,云和县,331125
浙江省,庆元县,331126
浙江省,景宁畲族自治县,331127
浙江省,龙泉市,331181
安徽省,瑶海区,340102
安徽省,庐阳区,340103
安徽省,蜀山区,340104
安徽省,包河区,340111
安徽省,长丰县,340121
安徽省,肥东县,340122
安徽省,肥西县,340123
安徽省,庐江县,340124
安徽省,巢湖市,340181
安徽省,镜湖区,340202
安徽省,弋江区,340203
安徽省,鸠江区,340207
安徽省,三山区,340208
安徽省,芜湖县,340221
安徽省,繁昌县,340222
安徽省,南陵县,340223
安徽省,无为县,340225
安徽省,龙子湖区,340302
安徽省,蚌山区,340303
安徽省,禹会区,340304
安徽省,淮上区,340311
安徽省,怀远县,340321
安徽省,五河县,340322
安徽省,固镇县,340323
安徽省,大通区,340402
安徽省,田家庵区,340403
安徽省,谢家集区,340404
安徽省,八公山区,340405
安徽省,潘集区,340406
安徽省,凤台县,340421
安徽省,寿县,340422
安徽省,花山区,340503
安徽省,雨山区,340504
安徽省,博望区,340506
安徽省,当涂县,340521
安徽省,含山县,340522
安徽省,和县,340523
安徽省,杜集区,340602
安徽省,相山区,340603
安徽省,烈山区,340604
安徽省,濉溪县,340621
安徽省,铜官区,340705
安徽省,义安区,340706
安徽省,郊区,340711
安徽省,枞阳县,340722
安徽省,迎江区,340802
安徽省,大观区,340803
安徽省,宜秀区,340811
安徽省,怀宁县,340822
安徽省,潜山县,340824
安徽省,太湖县,340825
安徽省,宿松县,340826
安徽省,望江县,340827
安徽省,岳西县,340828
安徽省,桐城市,340881
安徽省,屯溪区,341002
安徽省,黄山区,341003
